Freq,Gain,Phase
10.0,00009.29,-0010.00
10.2,00010.66,-0010.00
10.5,00010.84,-0010.00
10.7,00010.84,-0010.00
11.0,00010.87,-0010.00
11.2,00010.88,-0012.00
11.5,00010.85,-0014.00
11.7,00010.88,-0014.00
12.0,00010.87,-0014.00
12.3,00010.87,-0014.00
12.6,00010.85,-0014.00
12.9,00010.88,-0014.00
13.2,00010.82,-0017.00
13.5,00010.89,-0017.00
13.8,00010.87,-0017.00
14.1,00010.88,-0017.00
14.5,00010.88,-0017.00
14.8,00010.87,-0017.00
15.1,00010.91,-0019.00
15.5,00010.89,-0019.00
15.8,00010.83,-0018.00
16.2,00010.87,-0019.00
16.6,00010.88,-0020.00
17.0,00010.86,-0020.00
17.4,00010.88,-0021.00
17.8,00010.86,-0022.00
18.2,00010.85,-0022.00
18.6,00010.90,-0023.00
19.1,00010.77,-0023.00
19.5,00010.83,-0024.00
20.0,00010.80,-0024.00
20.4,00010.76,-0024.00
20.9,00010.82,-0024.00
21.4,00010.84,-0026.00
21.9,00010.82,-0026.00
22.4,00010.83,-0026.00
22.9,00010.85,-0027.00
23.4,00010.80,-0028.00
24.0,00010.82,-0028.00
24.5,00010.93,-0030.00
25.1,00010.91,-0030.00
25.7,00011.01,-0031.00
26.3,00010.95,-0032.00
26.9,00010.98,-0032.00
27.5,00011.04,-0032.00
28.2,00011.09,-0033.00
28.8,00011.11,-0034.00
29.5,00011.20,-0034.00
30.2,00011.29,-0035.00
30.9,00011.36,-0036.00
31.6,00011.40,-0036.00
32.4,00011.40,-0037.00
33.1,00011.45,-0037.00
33.9,00011.49,-0038.00
34.7,00011.57,-0039.00
35.5,00011.69,-0040.00
36.3,00011.86,-0041.00
37.2,00011.96,-0042.00
38.0,00011.98,-0042.00
38.9,00009.54,-0042.00
39.8,00012.15,-0043.00
40.7,00012.23,-0044.00
41.7,00012.37,-0045.00
42.7,00012.46,-0046.00
43.7,00012.75,-0047.00
44.7,00012.92,-0048.00
45.7,00013.05,-0049.00
46.8,00013.30,-0050.00
47.9,00013.56,-0051.00
49.0,00013.77,-0052.00
50.1,00014.51,-0055.00
51.3,00014.87,-0056.00
52.5,00015.41,-0058.00
53.7,00015.93,-0060.00
55.0,00016.38,-0062.00
56.2,00017.43,-0067.00
57.5,00018.20,-0070.00
58.9,00018.79,-0073.00
60.3,00020.19,-0083.00
61.7,00021.06,-0090.00
63.1,00022.24,-0106.00
64.6,00022.84,-0116.00
66.1,00022.91,-0138.00
67.6,00022.54,-0153.00
69.2,00021.01,-0170.00
70.8,00019.73,00178.00
72.4,00017.85,00170.00
74.1,00015.85,00161.00
75.9,00014.61,00157.00
77.6,00012.89,00153.00
79.4,00011.31,00149.00
81.3,00009.89,00147.00
83.2,00008.60,00145.00
85.1,00007.42,00142.00
87.1,00006.33,00143.00
89.1,00005.49,00141.00
91.2,00004.48,00139.00
93.3,00003.67,00139.00
95.5,00002.91,00139.00
97.7,00002.01,00138.00
100.0,00001.21,00138.00
102.3,00000.25,00138.00
104.7,00000.42,00136.00
107.2,-0001.10,00136.00
109.6,-0001.49,00134.00
112.2,-0002.51,00134.00
114.8,-0002.88,00133.00
117.5,-0003.87,00135.00
120.2,-0004.35,00132.00
123.0,-0005.07,00131.00
125.9,-0005.63,00130.00
128.8,-0006.35,00131.00
131.8,-0006.98,00131.00
134.9,-0007.62,00133.00
138.0,-0008.30,00129.00
141.3,-0009.03,00131.00
144.5,-0009.46,00129.00
147.9,-0009.99,00128.00
151.4,-0011.22,00129.00
154.9,-0011.31,00129.00
158.5,-0011.47,00127.00
162.2,-0010.20,00123.00
166.0,-0008.56,00101.00
169.8,-0002.87,-0056.00
173.8,-0003.36,-0109.00
177.8,00003.46,00122.00
182.0,-0001.00,00108.00
186.2,-0008.58,00108.00
190.5,-0011.47,00129.00
195.0,-0013.79,00126.00
199.5,-0015.70,00125.00
204.2,-0016.69,00133.00
208.9,-0017.98,00123.00
213.8,-0016.00,00126.00
218.8,-0017.74,00114.00
223.9,-0019.62,00116.00
229.1,-0018.07,00109.00
234.4,-0021.56,00125.00
239.9,-0020.48,00114.00
245.5,-0019.55,00129.00
251.2,-0020.95,00125.00
257.0,-0022.70,00121.00
263.0,-0022.45,00120.00
269.2,-0021.77,00122.00
275.4,-0023.93,00137.00
281.8,-0020.98,00130.00
288.4,-0022.09,00130.00
295.1,-0023.07,00144.00
302.0,-0023.48,00132.00
309.0,-0024.60,00139.00
316.2,-0024.11,00130.00
323.6,-0024.85,00147.00
331.1,-0025.78,00128.00
338.8,-0022.94,00143.00
346.7,-0026.39,00120.00
354.8,-0022.73,00137.00
363.1,-0028.59,00135.00
371.5,-0023.37,00143.00
380.2,-0025.50,00115.00
389.0,-0026.82,00133.00
398.1,-0026.49,00116.00
407.4,-0027.53,00135.00
416.9,-0024.52,00152.00
426.6,-0025.75,00125.00
436.5,-0029.58,00114.00
446.7,-0025.36,00139.00
457.1,-0028.64,00120.00
467.7,-0026.85,00135.00
478.6,-0029.07,00124.00
489.8,-0026.39,00100.00
501.2,-0027.94,00114.00
512.9,-0026.62,00102.00
524.8,-0029.37,00096.00
537.0,-0027.44,00120.00
549.5,-0027.85,00102.00
562.3,-0028.25,00116.00
575.4,-0026.28,00115.00
588.8,-0027.70,00103.00
602.6,-0024.20,00100.00
616.6,-0027.43,00129.00
631.0,-0023.88,00131.00
645.7,-0031.11,00120.00
660.7,-0028.97,00115.00
676.1,-0028.56,00092.00
691.8,-0026.64,00120.00
707.9,-0025.46,00100.00
724.4,-0033.09,00108.00
741.3,-0027.63,00101.00
758.6,-0026.93,00095.00
776.2,-0028.77,00084.00
794.3,-0029.68,00112.00
812.8,-0033.67,00085.00
831.8,-0030.99,00108.00
851.1,-0029.49,00090.00
871.0,-0031.89,00103.00
891.3,-0028.04,00080.00
912.0,-0028.70,00066.00
933.3,-0034.41,00075.00
955.0,-0027.68,00096.00
977.2,-0024.68,00093.00
1000.0,-0028.23,00080.00
1023.3,-0030.09,00087.00
1047.1,-0030.32,00112.00
1071.5,-0031.86,00105.00
1096.5,-0025.80,00080.00
1122.0,-0027.40,00075.00
1148.2,-0026.89,00055.00
1174.9,-0028.26,00083.00
1202.3,-0027.52,00063.00
1230.3,-0028.73,00085.00
1258.9,-0026.81,00059.00
1288.2,-0030.36,00054.00
1318.3,-0028.86,00034.00
1349.0,-0029.07,00056.00
1380.4,-0030.69,00084.00
1412.5,-0029.37,00055.00
1445.4,-0029.67,00037.00
1479.1,-0027.20,00038.00
1513.6,-0028.07,00044.00
1548.8,-0024.56,00058.00
1584.9,-0032.48,00051.00
1621.8,-0031.65,00075.00
1659.6,-0027.42,00049.00
1698.2,-0032.05,00058.00
1737.8,-0029.28,00054.00
1778.3,-0033.26,00073.00
1819.7,-0031.45,00044.00
1862.1,-0028.10,00048.00
1905.5,-0031.06,00075.00
1949.8,-0029.50,00046.00
1995.3,-0027.94,00073.00
2041.7,-0030.19,00051.00
2089.3,-0029.95,00043.00
2138.0,-0028.71,00043.00
2187.8,-0028.93,00046.00
2238.7,-0033.56,00075.00
2290.9,-0031.86,00053.00
2344.2,-0029.32,00032.00
2398.8,-0026.61,00059.00
2454.7,-0031.00,00082.00
2511.9,-0029.27,00079.00
2570.4,-0029.20,00089.00
2630.3,-0031.80,00078.00
2691.5,-0035.76,00093.00
2754.2,-0031.19,00084.00
2818.4,-0028.31,00074.00
2884.0,-0031.98,00077.00
2951.2,-0032.66,00085.00
3020.0,-0031.73,00090.00
3090.3,-0035.38,00097.00
3162.3,-0032.47,00102.00
3235.9,-0033.21,00085.00
3311.3,-0033.79,00077.00
3388.4,-0032.83,00078.00
3467.4,-0035.22,00106.00
3548.1,-0032.92,00102.00
3630.8,-0031.27,00129.00
3715.4,-0033.80,00120.00
3801.9,-0038.49,00115.00
3890.5,-0031.25,00116.00
3981.1,-0037.69,00108.00
4073.8,-0035.60,00129.00
4168.7,-0031.59,00117.00
4265.8,-0029.90,00089.00
4365.2,-0034.63,00111.00
4466.8,-0047.96,00090.00
4570.9,-0036.95,00098.00
4677.4,-0040.97,00097.00
4786.3,-0042.90,00081.00
4897.8,-0044.05,00094.00
5011.9,-0035.47,00108.00
5128.6,-0038.09,00091.00
5248.1,-0048.03,00100.00
5370.3,-0041.76,00090.00
5495.4,-0044.96,00089.00
5623.4,-0030.37,00091.00
5754.4,-0029.04,00090.00
5888.4,-0039.95,00098.00
6025.6,-0039.80,00072.00
6166.0,-0042.99,00097.00
6309.6,-0021.00,00087.00
6456.5,-0030.43,00084.00
6606.9,-0033.93,00084.00
6760.8,-0034.87,00092.00
6918.3,-0036.77,00100.00
7079.5,-0036.59,00118.00
7244.4,-0024.65,00090.00
7413.1,-0019.64,00078.00
7585.8,-0031.46,00091.00
7762.5,-0031.40,00075.00
7943.3,-0041.38,00072.00
8128.3,-0040.01,00101.00
8317.6,-0037.74,00075.00
8511.4,-0028.90,00098.00
8709.6,-0024.71,00088.00
8912.5,-0024.53,00091.00
9120.1,-0030.76,00077.00
9332.5,-0037.47,00062.00
9549.9,-0040.56,00086.00
9772.4,-0039.39,00079.00
10000.0,-0039.46,00090.00

